Donkey	Sex	Age	Bodywt	Heartgirth	Umbgirth	Length	Height
s228	male	8	136	114	138	85	116
s229	male	14	168	123	147	98	116
s230	female	6	138	116	138	81	107
s231	male	12	120	115	124	88	113
s232	male	8	138	116	153	86	110
s233	male	10	130	112	130	81	105
s234	female	7	132	113	149	80	102
s235	male	8	130	115	138	77	106
s236	male	12	156	123	135	87	114
s237	female	12	174	124	150	93	114
s238	male	8	144	118	137	85	109
s239	female	8	122	116	141	83	106
s240	male	8	174	128	152	90	119
s241	male	4	94	103	122	77	95
s242	female	4	76	99	120	79	90
s243	female	10	138	117	139	91	105
s244	male	8	116	114	128	83	107
s245	male	6	128	116	138	84	105
s246	female	6	164	125	155	97	117
s247	male	12	200	129	160	102	119
s248	female	4	116	108	129	84	104
s249	male	6	114	112	127	88	109
s250	male	10	124	110	124	81	105
s251	female	12	104	107	124	80	104
s252	female	6	94	104	123	77	95
s253	male	10	134	115	135	87	108
s254	female	8	136	116	137	88	111
s255	female	8	130	114	134	88	108
s256	male	4	106	106	128	81	104
s257	male	10	128	111	131	80	104
s258	male	11	108	110	130	85	103
s259	male	8	114	109	118	81	102
s260	male	12	132	110	138	88	106
s261	male	6	108	107	121	81	101
s262	female	8	106	105	128	76	98
s263	female	4	96	103	118	75	95
s264	male	10	100	107	124	78	103
s265	female	6	138	118	143	88	112
s266	male	10	108	107	132	78	92
s267	female	8	118	108	129	81	101
s268	female	12	130	114	143	78	102
s269	female	6	96	102	123	76	96
s270	male	10	146	116	145	93	114
s271	female	10	126	116	136	82	105
s272	female	8	178	129	155	92	116
s273	female	12	106	110	126	92	104
s274	female	8	110	110	131	85	104
s275	male	10	116	113	120	84	105
s276	male	8	144	117	137	84	113
s277	female	9	120	113	136	89	107
s278	male	4	90	103	122	76	98
s279	female	4	108	107	127	85	103
s280	female	8	120	111	136	79	96
s281	male	6	108	104	126	79	99
s282	male	7	106	110	122	78	104
s283	female	12	146	125	148	92	110
s284	female	6	122	112	125	82	103
s285	male	10	130	116	137	81	103
s286	male	6	128	119	132	81	106
s287	female	4	104	112	123	81	102
s288	female	8	120	110	143	82	102
s289	female	4	104	108	129	79	99
s290	female	6	116	110	129	78	101
s291	female	12	124	113	139	86	102
s292	male	10	130	113	133	87	106
s293	male	10	98	106	121	75	97
s294	male	12	156	124	145	91	113
s295	male	10	150	124	143	86	119
s296	male	6	106	106	124	71	98
s297	female	4	112	106	128	89	98
s298	female	8	108	114	131	86	99
s299	male	16	116	111	131	83	101
s300	male	12	114	111	126	84	102
s301	male	10	98	107	124	77	103
s302	female	8	140	118	143	88	106
s303	male	6	96	109	124	64	96
s304	male	13	142	114	141	84	103
s305	female	3	78	91	121	72	86
s306	male	3	76	94	112	74	94
s307	male	3	82	98	109	78	94
s308	male	4	58	88	106	66	82
s309	female	4	74	93	117	72	95
s310	female	4	74	95	106	72	99
s311	male	4	68	93	105	73	96
s312	female	10	120	111	137	77	104
s313	male	12	114	117	123	83	104
s314	male	8	126	114	142	82	106
s315	male	6	144	119	139	86	107
s316	male	10	126	113	132	80	102
s317	male	4	122	116	138	74	108
s318	male	6	124	111	139	77	102
s319	male	10	118	111	139	78	98
s320	male	6	120	110	130	86	102
s321	male	10	128	114	141	82	106
s322	female	10	142	122	144	88	111
s323	male	10	130	112	140	77	101
s324	male	5	124	118	137	74	112
s325	male	8	120	111	137	80	102
s326	male	10	116	109	126	83	105
s327	male	8	118	115	129	81	104
s328	female	6	98	114	122	80	103
s329	female	4	82	112	118	72	102
s330	male	8	94	102	123	76	99
s331	male	8	104	109	124	72	100
s332	male	8	120	108	138	84	103
s333	male	4	122	108	136	81	103
s334	male	6	108	109	129	81	101
s335	female	10	128	111	138	86	110
s336	female	2	78	101	126	70	92
s337	female	12	158	122	150	90	108
s338	female	6	144	116	147	88	106
s339	male	8	120	113	130	85	103
s340	female	10	126	118	138	84	112
s341	male	6	152	120	130	83	110
s342	male	4	114	110	133	75	101
s343	male	12	128	118	136	79	108
s344	male	6	106	104	126	82	96
s345	male	8	154	123	143	84	106
s346	male	10	120	106	141	82	98
s347	male	8	97	101	121	76	96
s348	male	10	125	111	132	86	104
s349	female	6	120	110	129	81	102
s350	female	2	112	107	121	80	96
s351	male	10	169	122	142	91	111
s352	female	6	152	122	140	90	109
s353	male	8	222	131	156	95	117
s354	male	4	104	108	116	77	99
s355	male	10	165	127	134	89	104
s356	female	10	144	121	113	88	107
s357	female	8	111	103	115	78	96
s358	female	3	135	116	123	87	101
s359	female	8	156	120	132	84	100
s360	male	10	102	107	107	87	103
s361	female	6	131	116	120	77	103
s362	male	4	123	116	117	74	99
s363	female	5	108	105	113	73	98
s364	female	6	125	114	120	75	102
s365	female	8	191	129	128	96	113
s366	female	6	152	122	120	87	110
s367	female	8	149	117	123	96	108
s368	female	6	149	117	122	80	99
s369	female	8	175	122	120	89	112
s370	male	5	123	110	119	80	96
s371	female	10	157	119	144	89	104
s372	female	4	108	108	115	78	95
s373	female	8	128	112	108	89	102
s374	male	6	121	110	123	79	102
s375	female	12	144	118	115	89	104
s376	male	12	140	114	138	78	104
s377	male	10	100	104	115	78	95
s378	female	6	128	112	122	88	103
s379	male	10	154	120	131	84	108
s380	male	12	128	113	127	83	100
s381	female	6	140	116	128	94	110
s382	female	8	114	111	119	74	103
s383	female	6	148	118	132	89	102
s384	male	6	148	115	124	87	106
s385	male	10	166	122	136	91	111
s386	female	4	120	110	126	81	103
